GA,P_5,P_10,P_25,P_50,P_75,P_90,P_95
15,92.493,94.7562,98.4582,102.4636,106.3654,109.7958,111.8144
16,101.9885,104.484,108.566,112.9826,117.285,121.0676,123.2934
17,111.4839,114.2117,118.6738,123.5016,128.2046,132.3394,134.7724
18,120.9793,123.9395,128.7816,134.0207,139.1242,143.6111,146.2513
19,130.4747,133.6673,138.8895,144.5397,150.0437,154.8829,157.7303
20,139.9702,143.395,148.9973,155.0587,160.9633,166.1546,169.2093
21,149.4656,153.1228,159.1051,165.5777,171.8829,177.4264,180.6883
22,158.961,162.8505,169.2129,176.0967,182.8025,188.6981,192.1673
23,168.4565,172.5783,179.3207,186.6158,193.7221,199.9699,203.6462
24,177.9519,182.3061,189.4286,197.1348,204.6417,211.2416,215.1252
25,187.4473,192.0338,199.5364,207.6538,215.5612,222.5134,226.6042
26,196.9427,201.7616,209.6442,218.1728,226.4808,233.7851,238.0832
27,206.4382,211.4894,219.752,228.6918,237.4004,245.0569,249.5622
28,215.9336,221.2171,229.8598,239.2108,248.32,256.3286,261.0411
29,225.429,230.9449,239.9676,249.7299,259.2396,267.6004,272.5201
30,234.9245,240.6727,250.0755,260.2489,270.1591,278.8721,283.9991
31,244.4199,250.4004,260.1833,270.7679,281.0787,290.1439,295.4781
32,253.9153,260.1282,270.2911,281.2869,291.9983,301.4156,306.9571
33,263.4107,269.856,280.3989,291.8059,302.9179,312.6874,318.436
34,272.9062,279.5837,290.5067,302.3249,313.8375,323.9591,329.915
35,282.4016,289.3115,300.6145,312.844,324.7571,335.2309,341.394
36,291.897,299.0393,310.7224,323.363,335.6766,346.5027,352.873
37,301.3924,308.767,320.8302,333.882,346.5962,357.7744,364.352
38,310.8879,318.4948,330.938,344.401,357.5158,369.0462,375.8309
39,320.3833,328.2226,341.0458,354.92,368.4354,380.3179,387.3099
40,329.8787,337.9503,351.1536,365.4391,379.355,391.5897,398.7889
