GA,P_5,P_10,P_25,P_50,P_75,P_90,P_95
15,32.6595,33.346,34.5061,35.8135,37.1404,38.3511,39.0831
16,35.0175,35.7537,36.9974,38.3993,39.8219,41.1201,41.9049
17,37.3755,38.1613,39.4888,40.985,42.5035,43.8891,44.7268
18,39.7336,40.5689,41.9801,43.5708,45.1851,46.658,47.5486
19,42.0916,42.9765,44.4715,46.1565,47.8666,49.427,50.3704
20,44.4496,45.3841,46.9629,48.7423,50.5482,52.196,53.1923
21,46.8077,47.7917,49.4542,51.3281,53.2297,54.965,56.0141
22,49.1657,50.1993,51.9456,53.9138,55.9113,57.7339,58.8359
23,51.5237,52.6069,54.4369,56.4996,58.5929,60.5029,61.6577
24,53.8818,55.0145,56.9283,59.0853,61.2744,63.2719,64.4796
25,56.2398,57.4221,59.4197,61.6711,63.956,66.0409,67.3014
26,58.5979,59.8297,61.911,64.2569,66.6376,68.8099,70.1232
27,60.9559,62.2374,64.4024,66.8426,69.3191,71.5788,72.9451
28,63.3139,64.645,66.8938,69.4284,72.0007,74.3478,75.7669
29,65.672,67.0526,69.3851,72.0141,74.6822,77.1168,78.5887
30,68.03,69.4602,71.8765,74.5999,77.3638,79.8858,81.4106
31,70.388,71.8678,74.3678,77.1857,80.0454,82.6547,84.2324
32,72.7461,74.2754,76.8592,79.7714,82.7269,85.4237,87.0542
33,75.1041,76.683,79.3506,82.3572,85.4085,88.1927,89.876
34,77.4622,79.0906,81.8419,84.943,88.0901,90.9617,92.6979
35,79.8202,81.4982,84.3333,87.5287,90.7716,93.7307,95.5197
36,82.1782,83.9058,86.8247,90.1145,93.4532,96.4996,98.3415
37,84.5363,86.3134,89.316,92.7002,96.1347,99.2686,101.1634
38,86.8943,88.7211,91.8074,95.286,98.8163,102.0376,103.9852
39,89.2523,91.1287,94.2987,97.8718,101.4979,104.8066,106.807
40,91.6104,93.5363,96.7901,100.4575,104.1794,107.5755,109.6288
