GA,P_5,P_10,P_25,P_50,P_75,P_90,P_95
15,19.8312,20.418,21.3257,22.2467,23.0933,23.8027,24.2067
16,21.8258,22.4717,23.4707,24.4842,25.416,26.1968,26.6414
17,23.8204,24.5253,25.6156,26.7218,27.7387,28.5909,29.0762
18,25.815,26.579,27.7605,28.9594,30.0614,30.9849,31.5109
19,27.8096,28.6326,29.9055,31.197,32.3842,33.379,33.9456
20,29.8043,30.6863,32.0504,33.4345,34.7069,35.7731,36.3803
21,31.7989,32.7399,34.1954,35.6721,37.0296,38.1672,38.815
22,33.7935,34.7936,36.3403,37.9097,39.3523,40.5613,41.2497
23,35.7881,36.8472,38.4852,40.1472,41.675,42.9553,43.6844
24,37.7827,38.9009,40.6302,42.3848,43.9978,45.3494,46.1191
25,39.7773,40.9545,42.7751,44.6224,46.3205,47.7435,48.5539
26,41.772,43.0082,44.9201,46.86,48.6432,50.1376,50.9886
27,43.7666,45.0618,47.065,49.0975,50.9659,52.5316,53.4233
28,45.7612,47.1155,49.2099,51.3351,53.2887,54.9257,55.858
29,47.7558,49.1691,51.3549,53.5727,55.6114,57.3198,58.2927
30,49.7504,51.2227,53.4998,55.8102,57.9341,59.7139,60.7274
31,51.7451,53.2764,55.6448,58.0478,60.2568,62.108,63.1621
32,53.7397,55.33,57.7897,60.2854,62.5795,64.502,65.5969
33,55.7343,57.3837,59.9347,62.523,64.9023,66.8961,68.0316
34,57.7289,59.4373,62.0796,64.7605,67.225,69.2902,70.4663
35,59.7235,61.491,64.2245,66.9981,69.5477,71.6843,72.901
36,61.7182,63.5446,66.3695,69.2357,71.8704,74.0784,75.3357
37,63.7128,65.5983,68.5144,71.4732,74.1932,76.4724,77.7704
38,65.7074,67.6519,70.6594,73.7108,76.5159,78.8665,80.2051
39,67.702,69.7056,72.8043,75.9484,78.8386,81.2606,82.6398
40,69.6966,71.7592,74.9492,78.1859,81.1613,83.6547,85.0746
