GA,P_5,P_10,P_25,P_50,P_75,P_90,P_95
15,123.5029,126.4039,131.0184,135.8476,140.4071,144.3103,146.5646
16,131.8914,134.9895,139.9175,145.0746,149.9438,154.1121,156.5195
17,140.2799,143.5751,148.8165,154.3016,159.4805,163.9139,166.4745
18,148.6685,152.1607,157.7155,163.5286,169.0172,173.7157,176.4294
19,157.057,160.7462,166.6145,172.7556,178.5539,183.5175,186.3843
20,165.4455,169.3318,175.5135,181.9826,188.0906,193.3193,196.3392
21,173.834,177.9174,184.4125,191.2096,197.6273,203.1211,206.2942
22,182.2226,186.503,193.3115,200.4366,207.164,212.9229,216.2491
23,190.6111,195.0885,202.2105,209.6636,216.7007,222.7247,226.204
24,198.9996,203.6741,211.1095,218.8906,226.2374,232.5265,236.1589
25,207.3882,212.2597,220.0085,228.1177,235.7741,242.3283,246.1139
26,215.7767,220.8453,228.9075,237.3447,245.3108,252.1302,256.0688
27,224.1652,229.4309,237.8065,246.5717,254.8475,261.932,266.0237
28,232.5538,238.0164,246.7055,255.7987,264.3842,271.7338,275.9786
29,240.9423,246.602,255.6045,265.0257,273.9209,281.5356,285.9336
30,249.3308,255.1876,264.5035,274.2527,283.4576,291.3374,295.8885
31,257.7194,263.7732,273.4025,283.4797,292.9943,301.1392,305.8434
32,266.1079,272.3587,282.3015,292.7067,302.531,310.941,315.7983
33,274.4964,280.9443,291.2005,301.9337,312.0677,320.7428,325.7533
34,282.885,289.5299,300.0995,311.1607,321.6044,330.5446,335.7082
35,291.2735,298.1155,308.9985,320.3877,331.1411,340.3464,345.6631
36,299.662,306.7011,317.8975,329.6147,340.6778,350.1482,355.618
37,308.0506,315.2866,326.7965,338.8417,350.2145,359.95,365.573
38,316.4391,323.8722,335.6955,348.0687,359.7512,369.7518,375.5279
39,324.8276,332.4578,344.5945,357.2958,369.2879,379.5537,385.4828
40,333.2162,341.0434,353.4935,366.5228,378.8246,389.3555,395.4378
