GA,P_3,P_5,P_10,P_50,P_90,P_95,P_97
14,72.9,73.8,75.3,80.6,85.9,87.4,88.4
15,82.9,84.1,85.8,91.9,98.1,99.8,100.9
16,93,94.3,96.3,103.2,110.1,112.1,113.4
17,103.1,104.5,106.7,114.4,122.1,124.3,125.7
18,113.2,114.8,117.2,125.6,134,136.4,138
19,123.3,125,127.6,136.7,145.8,148.4,150.1
20,133.4,135.2,138,147.7,157.5,160.3,162.1
21,143.4,145.3,148.3,158.7,169.1,172,174
22,153.5,155.5,158.6,169.6,180.6,183.7,185.7
23,163.4,165.6,168.9,180.4,192,195.3,197.4
24,173.3,175.6,179,191.2,203.3,206.8,209
25,183.2,185.5,189.1,201.8,214.5,218.1,220.5
26,192.9,195.4,199.1,212.4,225.7,229.5,231.9
27,202.6,205.1,209.1,222.9,236.8,240.7,243.2
28,212.1,214.7,218.8,233.3,247.8,251.9,254.5
29,221.4,224.2,228.5,243.6,258.7,263,265.8
30,230.6,233.5,238,253.8,269.6,274.1,277
31,239.6,242.6,247.4,263.9,280.5,285.2,288.3
32,248.4,251.6,256.5,273.9,291.3,296.3,299.5
33,256.9,260.3,265.5,283.8,302.2,307.4,310.7
34,265.2,268.7,274.3,293.6,313,318.5,322
35,273.2,276.9,282.8,303.3,323.8,329.6,333.4
36,280.8,284.8,291,312.8,334.6,340.9,344.9
37,288.1,292.4,299,322.3,345.5,352.1,356.4
38,295.1,299.6,306.7,331.6,356.4,363.5,368.1
39,301.6,306.5,314.1,340.8,367.4,375,379.9
40,307.7,312.9,321.1,349.8,378.5,386.7,392
