GA,P_3,P_5,P_10,P_50,P_90,P_95,P_97
14,26.3,26.7,27.4,29.6,31.8,32.5,32.9
15,29.1,29.6,30.2,32.6,34.9,35.6,36
16,32,32.5,33.2,35.7,38.1,38.8,39.3
17,35,35.5,36.2,38.8,41.4,42.1,42.6
18,38,38.5,39.3,42,44.7,45.4,45.9
19,41.1,41.6,42.4,45.2,48,48.8,49.3
20,44.1,44.7,45.5,48.4,51.4,52.2,52.8
21,47.2,47.8,48.6,51.7,54.8,55.6,56.2
22,50.3,50.9,51.8,55,58.1,59,59.6
23,53.4,54,54.9,58.2,61.5,62.4,63
24,56.4,57,58,61.4,64.8,65.7,66.4
25,59.4,60,61,64.5,68,69,69.7
26,62.3,63,64,67.6,71.2,72.2,72.9
27,65.2,65.9,66.9,70.6,74.3,75.3,76
28,67.9,68.6,69.7,73.5,77.3,78.3,79
29,70.6,71.3,72.4,76.3,80.1,81.2,81.9
30,73.1,73.9,75,78.9,82.8,84,84.7
31,75.5,76.3,77.4,81.4,85.4,86.6,87.3
32,77.8,78.5,79.7,83.8,87.8,89,89.8
33,79.8,80.6,81.8,85.9,90.1,91.3,92
34,81.7,82.4,83.7,87.9,92.2,93.4,94.1
35,83.3,84.1,85.3,89.7,94,95.2,96
36,84.7,85.5,86.8,91.2,95.7,96.9,97.7
37,85.9,86.7,88,92.5,97.1,98.4,99.2
38,86.7,87.6,88.9,93.6,98.3,99.6,100.5
39,87.3,88.2,89.6,94.4,99.2,100.6,101.5
40,87.5,88.4,89.9,94.9,99.9,101.3,102.3
