GA,P_3,P_5,P_10,P_50,P_90,P_95,P_97
22,463,470,481,525,578,596,607
23,516,524,538,592,658,680,695
24,575,585,602,669,751,778,796
25,641,654,674,756,858,891,913
26,716,732,757,856,980,1020,1048
27,800,818,849,969,1119,1168,1202
28,892,915,951,1097,1276,1335,1375
29,994,1021,1065,1239,1452,1521,1569
30,1106,1138,1190,1396,1647,1728,1783
31,1227,1265,1326,1568,1860,1953,2016
32,1357,1401,1473,1755,2089,2195,2266
33,1495,1547,1630,1954,2332,2450,2529
34,1641,1700,1795,2162,2583,2713,2800
35,1792,1860,1967,2378,2838,2978,3071
36,1948,2024,2144,2594,3089,3237,3335
37,2106,2190,2321,2806,3326,3480,3582
38,2265,2355,2495,3006,3541,3697,3799
39,2422,2516,2663,3186,3722,3876,3976
40,2574,2670,2818,3338,3858,4006,4101
