GA,P_3,P_5,P_10,P_50,P_90,P_95,P_97
14,10.3,10.6,11.2,13.1,15.1,15.6,16
15,13.4,13.7,14.3,16.3,18.3,18.9,19.3
16,16.4,16.8,17.4,19.5,21.5,22.1,22.5
17,19.4,19.8,20.4,22.5,24.7,25.3,25.7
18,22.3,22.7,23.4,25.5,27.7,28.3,28.7
19,25.2,25.6,26.2,28.5,30.7,31.3,31.7
20,28,28.4,29,31.3,33.6,34.2,34.6
21,30.6,31.1,31.7,34.1,36.4,37,37.5
22,33.3,33.7,34.4,36.7,39.1,39.8,40.2
23,35.8,36.2,36.9,39.4,41.8,42.5,42.9
24,38.3,38.7,39.4,41.9,44.4,45.1,45.5
25,40.6,41.1,41.8,44.4,46.9,47.6,48.1
26,42.9,43.4,44.1,46.7,49.3,50.1,50.5
27,45.1,45.6,46.4,49,51.7,52.5,52.9
28,47.3,47.8,48.6,51.3,54,54.8,55.3
29,49.3,49.8,50.6,53.4,56.2,57,57.5
30,51.3,51.8,52.6,55.5,58.4,59.2,59.7
31,53.2,53.7,54.6,57.5,60.5,61.3,61.9
32,55,55.5,56.4,59.4,62.5,63.4,63.9
33,56.7,57.3,58.2,61.3,64.4,65.3,65.9
34,58.3,58.9,59.8,63.1,66.3,67.2,67.8
35,59.8,60.5,61.4,64.8,68.1,69.1,69.7
36,61.3,61.9,62.9,66.4,69.9,70.9,71.5
37,62.6,63.3,64.3,67.9,71.6,72.6,73.3
38,63.9,64.6,65.6,69.4,73.2,74.3,75
39,65,65.8,66.9,70.8,74.7,75.9,76.6
40,66.1,66.8,68,72.1,76.2,77.4,78.2
