GA,P_2.5,P_5,P_10,P_25,P_50,P_75,P_90,P_95,P_97.5
14,0.5,0.52,0.53,0.54,0.56,0.57,0.59,0.59,0.6
15,0.54,0.55,0.56,0.57,0.59,0.6,0.61,0.62,0.62
16,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.64
17,0.6,0.6,0.61,0.62,0.63,0.64,0.65,0.65,0.66
18,0.62,0.62,0.63,0.64,0.65,0.66,0.66,0.67,0.67
19,0.64,0.64,0.65,0.65,0.66,0.67,0.68,0.68,0.68
20,0.65,0.66,0.66,0.67,0.67,0.68,0.69,0.69,0.69
21,0.66,0.67,0.67,0.68,0.68,0.69,0.69,0.7,0.7
22,0.67,0.67,0.68,0.68,0.69,0.69,0.7,0.7,0.71
23,0.68,0.68,0.68,0.69,0.69,0.7,0.7,0.71,0.71
24,0.68,0.69,0.69,0.69,0.7,0.7,0.71,0.71,0.71
25,0.69,0.69,0.69,0.7,0.7,0.71,0.71,0.71,0.72
26,0.69,0.69,0.69,0.7,0.7,0.71,0.71,0.72,0.72
27,0.69,0.69,0.7,0.7,0.71,0.71,0.72,0.72,0.72
28,0.69,0.7,0.7,0.7,0.71,0.71,0.72,0.72,0.72
29,0.7,0.7,0.7,0.71,0.71,0.72,0.72,0.72,0.73
30,0.7,0.7,0.7,0.71,0.71,0.72,0.72,0.73,0.73
31,0.7,0.7,0.71,0.71,0.72,0.72,0.73,0.73,0.73
32,0.7,0.71,0.71,0.72,0.72,0.73,0.73,0.73,0.74
33,0.71,0.71,0.71,0.72,0.72,0.73,0.73,0.74,0.74
34,0.71,0.71,0.72,0.72,0.73,0.73,0.74,0.74,0.74
35,0.71,0.72,0.72,0.73,0.73,0.74,0.74,0.74,0.75
36,0.72,0.72,0.72,0.73,0.73,0.74,0.74,0.75,0.75
37,0.72,0.72,0.73,0.73,0.74,0.74,0.74,0.75,0.75
38,0.72,0.72,0.73,0.73,0.74,0.74,0.75,0.75,0.75
39,0.72,0.72,0.73,0.73,0.74,0.74,0.75,0.75,0.75
40,0.71,0.72,0.72,0.73,0.73,0.74,0.75,0.75,0.75
